  21 2021 03 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 ACME   110     0     28   19.2    2.2    2.1   118   14.1    0.3    2.7    0.00   975.94   146   19.5    1.8   16.8   17.2   18.7   13.4   12.1    1.62    1.49    1.44
 ADAX     1     0     23   18.8    0.2    0.2    10    6.9    0.2    0.6    2.03   987.76   130   18.9    0.0   15.4   18.7   16.5   14.2   -998    1.46    1.50    -998
 ALTU     2     0     30   19.6    2.4    2.4   141    5.8    0.3    3.0    0.00   973.66   169   19.8    1.3   15.1   19.3   16.4   13.3   -998    2.27    2.36    -998
 ALV2   116     0     32   19.5    4.5    4.5   157    5.8    0.5    5.9    0.00   968.37   155   19.2    3.7   11.8   16.0   12.9   10.1   -998    1.42    1.39    -998
 ANT2   135     0     26   18.4    1.2    1.2    35   17.8    0.4    2.0    0.00  1002.80   108   18.5    0.5   16.9   19.0   17.4   15.2   14.2    1.51    1.39    1.34
 APAC   111     0     26   19.0    2.8    2.8   191    6.7    0.3    3.4    0.00   970.76   152   19.3    2.0   15.4   18.5   19.0   14.1   12.0    1.71    1.55    1.68
 ARD2   126     0     32   19.1    2.7    2.7    92    8.3    0.4    3.8    1.02   991.04   137   19.7    1.5   15.9   18.9   17.6   14.4   13.7    1.52    1.41    1.45
 ARNE     6     0     19   20.5    5.6    5.5   196   11.9    1.6   10.0    0.00   937.12   176   20.3    3.8   17.1   17.7   18.0   12.0   10.2    1.76    1.66    1.73
 BEAV     8     0     21   20.7    8.0    8.0   213    6.8    1.2   11.2    0.00   930.97   182   20.6    5.3   16.7   14.8   18.7   11.3    9.9    1.81    1.78    2.02
 BESS     9     0     30   18.9    5.4    5.3   182    6.5    0.8    7.1    0.00   961.96   166   18.9    4.2   17.3   19.3   18.5   12.7   -998    1.79    1.43    -998
 BIXB    10     0     28   17.8    1.2    1.2   186    5.8    0.1    1.5    0.00  1000.72   123   18.1    0.5   13.0   17.8   15.4   11.6   11.2    1.55    1.30    1.49
 BLAC    11     0     37   16.9    2.1    2.1   189    7.1    0.3    2.8    0.00   985.74   136   17.4    1.6   11.6   17.7   12.1   10.3   10.0    1.61    1.43    1.47
 BOIS    12     0     20   20.4    8.9    8.9   203    6.4    0.9   10.7    0.00   874.72   257   20.2    7.2    9.4   11.0   10.5    7.9    7.8    1.70    2.21    3.87
 BREC    14     0     36   17.3    2.5    2.5   156    9.9    0.3    3.3    0.00   980.21   137   17.6    1.6   14.5   16.9   14.3   11.5   10.6    1.46    1.50    1.45
 BRIS    15     0     25   18.2    0.7    0.7   324   10.3    0.2    1.2    0.00   993.97    81   18.9    0.1   16.2   18.2   16.7   13.4   12.3    1.57    1.51    1.46
 BROK   124     0     25   18.1    1.1    1.1    17   21.0    0.5    2.4    0.00  1009.34    98   18.6    0.3   17.4   18.7   17.9   -998   -998    1.48    -998    -998
 BUFF    16     0     22   21.0    4.8    4.6   194   14.2    1.0    7.0    0.00   954.21   174   20.9    3.0   14.1   15.4   15.7   11.2   10.2    1.63    1.62    1.55
 BURB    17     0   -996   -996   -996   -996  -996   -996   -996   -996    -996     -996  -996   -996   -996   -996   -996   -996   -998   -998    -996    -998    -998
 BURN    18     0     27   19.3    3.0    3.0    53    4.9    0.3    4.1    0.25   995.92   132   20.4    2.3   16.9   18.9   17.2   15.1   14.1    1.57    1.58    1.65
 BUTL    19     0     25   19.9    5.6    5.5   188    7.3    0.9    7.5    0.00   960.55   147   19.7    3.8   13.4   19.9   13.7   11.6   10.7    1.59    1.54    1.45
 BYAR    20     0     26   18.7    1.6    1.6   109    9.3    0.2    2.2    0.00   981.96   137   18.8    1.1   16.5   18.1   17.3   14.2   12.9    1.42    1.38    1.53
 CAMA    22     0     23   20.1    4.9    4.9   190    7.6    0.7    6.5    0.00   952.10   169   20.3    3.4   13.6   20.0   15.5   11.5   -998    1.84    1.67    -998
 CARL   131     0     25   18.3    1.1    1.0   175   24.8    0.4    1.9    0.00   987.22   133   18.8    0.6   14.2   18.6   15.6   12.0   11.4    1.49    1.44    1.46
 CENT    23     0     27   18.4    1.6    1.6    27    8.4    0.5    2.4    0.00   998.23   114   19.1    1.2   14.4   18.7   15.7   13.6   12.9    1.48    1.37    1.41
 CHAN    24     0     25   18.6    1.0    1.0    15   12.5    0.3    1.5    0.00   987.98   142   18.6    0.3   16.1   17.5   15.9   13.6   -998    1.51    1.41    -998
 CHER    25     0     37   18.2    4.5    4.5   136    7.3    0.6    5.7    0.00   977.91   148   18.2    3.7   13.9   19.5   14.6   12.0   11.1    1.91    1.90    1.91
 CHEY    26     0     23   18.7    5.9    5.8   179    8.4    1.2    8.7    0.00   940.87   173   19.0    5.1   14.0   20.3   17.8   11.8   10.7    1.96    1.46    1.44
 CHIC    27     0     30   18.8    1.6    1.6   148    8.3    0.3    2.3    0.00   983.73   149   19.7    0.0   13.4   21.6   13.4   -998   -998    1.42    -998    -998
 CLAY    29     0     26   17.4    1.8    1.7   359   16.6    0.3    2.5    0.00  1001.11   116   17.6    1.0   14.5   19.3   14.6   -998   -998    1.51    -998    -998
 CLOU    30     0     28   16.9    2.1    2.0   337   17.7    0.5    3.3    0.00   997.12   113   17.3    1.7   17.2   17.4   16.2   15.2   -998    1.46    1.45    -998
 COOK    31     0     26   15.5    2.5    2.3   314   19.5    0.6    4.3    0.00   987.48   105   15.7    1.4   12.4   16.3   12.6   -998   -998    1.63    -998    -998
 COPA    32     0     29   17.1    0.7    0.6   212   20.4    0.3    1.1    0.00   992.30   116   17.7    0.0   12.8   16.6   13.3   11.4   10.9    1.47    1.39    1.41
 DURA    33     0     31   18.4    1.6    1.5    45   20.9    0.4    2.5    0.00   999.73   119   18.8    1.3   16.3   19.3   17.4   14.7   13.8    1.47    1.40    1.41
 ELKC   139     0     27   18.9    6.3    6.3   191    6.8    0.7    7.8    0.00   953.32   173   18.8    4.6   13.1   21.1   13.5   11.8   11.2    1.63    1.39    1.36
 ELRE    34     0     29   18.2    2.9    2.9   149    5.0    0.4    3.8    0.00   972.95   147   18.2    2.0   13.1   20.7   13.1   11.0   10.6    1.54    1.54    1.44
