STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
ACME,Acme,OK,34.81,-98.02,2021,3,28,23,35,49,35,58,46, ,SSE,9,10,1022.50,69,37, 
ADAX,Ada,OK,34.80,-96.67,2021,3,28,23,35,52,33,47, , ,SSE,5,10,1023.32,68,40, 
ALTU,Altus,OK,34.59,-99.34,2021,3,28,23,35,50,37,60, , ,SSE,9,11,1021.81,70,35, 
ALV2,Alva,OK,36.71,-98.71,2021,3,28,23,35,51,37,57, , ,S,10,12,1018.51,71,32, 
ANT2,Antlers,OK,34.25,-95.67,2021,3,28,23,35,39,36,89, , ,N,0,0,1024.48,68,39, 
APAC,Apache,OK,34.91,-98.29,2021,3,28,23,35,49,36,61,44, ,S,12,14,1021.95,70,37, 
ARD2,Ardmore,OK,34.19,-97.09,2021,3,28,23,35,54,35,50, , ,S,7,10,1023.69,69,44, 
ARNE,Arnett,OK,36.07,-99.90,2021,3,28,23,35,54,32,42, , ,S,13,18,1019.83,71,37, 
BEAV,Beaver,OK,36.80,-100.53,2021,3,28,23,35,54,30,39, , ,SSW,22,28,1016.64,71,30, 
BESS,Bessie,OK,35.40,-99.06,2021,3,28,23,35,53,36,54, , ,S,13,19,1020.88,69,37, 
BIXB,Bixby,OK,35.96,-95.87,2021,3,28,23,35,48,38,68,47, ,SSE,4,5,1022.98,66,45, 
BLAC,Blackwell,OK,36.75,-97.25,2021,3,28,23,35,47,36,66,44, ,SSE,7,9,1020.58,65,36, 
BOIS,Boise City,OK,36.69,-102.50,2021,3,28,23,35,49,26,41,43, ,SSW,19,23,1016.70,69,26, 
BREC,Breckinridge,OK,36.41,-97.69,2021,3,28,23,35,49,36,62,44, ,SSE,11,14,1020.32,67,36, 
BRIS,Bristow,OK,35.78,-96.35,2021,3,28,23,35,51,32,48, , ,SSE,5,7,1022.40,67,40, 
BROK,Broken Bow,OK,34.04,-94.62,2021,3,28,23,35,41,38,90, , ,NNW,0,1,1024.11,68,41, 
BUFF,Buffalo,OK,36.83,-99.64,2021,3,28,23,35,56,32,40, , ,S,15,23,1017.52,71,35, 
BURB,Burbank,OK,36.63,-96.81,2021,3,28,23,35, , , , , , , , , , , , 
BURN,Burneyville,OK,33.89,-97.27,2021,3,28,23,35,54,35,48, , ,SSE,5,8,1024.10,71,41, 
BUTL,Butler,OK,35.59,-99.27,2021,3,28,23,35,55,34,45, , ,S,13,19,1020.42,73,35, 
BYAR,Byars,OK,34.85,-97.00,2021,3,28,23,35,50,34,54, , ,SSE,10,11,1023.10,68,43, 
CAMA,Camargo,OK,36.03,-99.35,2021,3,28,23,35,53,34,49, , ,S,9,12,1020.06,71,35, 
CARL,Lake Carl Blackwell,OK,36.15,-97.29,2021,3,28,23,35,54,32,44, , ,SSE,10,14,1020.94,68,36, 
CENT,Centrahoma,OK,34.61,-96.33,2021,3,28,23,35,50,33,52, , ,S,0,0,1023.89,68,44, 
CHAN,Chandler,OK,35.65,-96.80,2021,3,28,23,35,50,33,52,47, ,SSE,8,11,1022.27,69,39, 
CHER,Cherokee,OK,36.75,-98.36,2021,3,28,23,35,51,37,58, , ,S,11,13,1019.22,69,32, 
CHEY,Cheyenne,OK,35.55,-99.73,2021,3,28,23,35,54,32,43, , ,S,24,31,1019.96,68,40, 
CHIC,Chickasha,OK,35.03,-97.91,2021,3,28,23,35,48,38,67,44, ,S,9,11,1021.99,69,35, 
CLAY,Clayton,OK,34.66,-95.33,2021,3,28,23,35,40,35,83, , ,E,2,3,1024.43,66,39, 
CLOU,Cloudy,OK,34.22,-95.25,2021,3,28,23,35,39,37,92, , ,NNW,2,3,1024.27,67,39, 
COOK,Cookson,OK,35.68,-94.85,2021,3,28,23,35,43,31,63, , ,ENE,2,4,1023.72,64,40, 
COPA,Copan,OK,36.91,-95.89,2021,3,28,23,35,47,35,63,43, ,SSE,8,11,1021.71,65,38, 
DURA,Durant,OK,33.92,-96.32,2021,3,28,23,35,51,35,54, , ,SE,4,5,1024.14,68,46, 
ELKC,Elk City,OK,35.33,-99.39,2021,3,28,23,35,51,36,56, , ,S,15,19,1020.59,70,41, 
ELRE,El Reno,OK,35.55,-98.04,2021,3,28,23,35,46,36,68,41, ,S,10,11,1021.47,68,32, 
ERIC,Erick,OK,35.20,-99.80,2021,3,28,23,35, , , , , , , , , ,69,33, 
EUFA,Eufaula,OK,35.30,-95.66,2021,3,28,23,35,51,35,55, , ,S,4,5,1023.76,65,47, 
EVAX,Eva,OK,36.92,-101.78,2021,3,28,23,35,53,25,34, , ,SW,16,21,1016.13,71,26, 
FAIR,Fairview,OK,36.26,-98.50,2021,3,28,23,35,53,36,52, , ,S,8,12,1019.55,69,39, 
