STID,NAME,ST,LAT,LON,
ACME,Acme,OK,34.81,-98.02,
ADAX,Ada,OK,34.80,-96.67,
ALTU,Altus,OK,34.59,-99.34,
ALV2,Alva,OK,36.71,-98.71,
ANT2,Antlers,OK,34.25,-95.67,
APAC,Apache,OK,34.91,-98.29,
ARD2,Ardmore,OK,34.19,-97.09,
ARNE,Arnett,OK,36.07,-99.90,
BEAV,Beaver,OK,36.80,-100.53,
BESS,Bessie,OK,35.40,-99.06,
BIXB,Bixby,OK,35.96,-95.87,
BLAC,Blackwell,OK,36.75,-97.25,
BOIS,Boise City,OK,36.69,-102.50,
BREC,Breckinridge,OK,36.41,-97.69,
BRIS,Bristow,OK,35.78,-96.35,
BROK,Broken Bow,OK,34.04,-94.62,
BUFF,Buffalo,OK,36.83,-99.64,
BURB,Burbank,OK,36.63,-96.81,
BURN,Burneyville,OK,33.89,-97.27,
BUTL,Butler,OK,35.59,-99.27,
BYAR,Byars,OK,34.85,-97.00,
CAMA,Camargo,OK,36.03,-99.35,
CARL,Lake Carl Blackwell,OK,36.15,-97.29,
CENT,Centrahoma,OK,34.61,-96.33,
CHAN,Chandler,OK,35.65,-96.80,
CHER,Cherokee,OK,36.75,-98.36,
CHEY,Cheyenne,OK,35.55,-99.73,
CHIC,Chickasha,OK,35.03,-97.91,
CLAY,Clayton,OK,34.66,-95.33,
CLOU,Cloudy,OK,34.22,-95.25,
COOK,Cookson,OK,35.68,-94.85,
COPA,Copan,OK,36.91,-95.89,
DURA,Durant,OK,33.92,-96.32,
ELKC,Elk City,OK,35.33,-99.39,
ELRE,El Reno,OK,35.55,-98.04,
ERIC,Erick,OK,35.20,-99.80,
EUFA,Eufaula,OK,35.30,-95.66,
EVAX,Eva,OK,36.92,-101.78,
FAIR,Fairview,OK,36.26,-98.50,
FITT,Fittstown,OK,34.55,-96.72,
FORA,Foraker,OK,36.84,-96.43,
FREE,Freedom,OK,36.73,-99.14,
FTCB,Fort Cobb,OK,35.15,-98.47,
GOOD,Goodwell,OK,36.60,-101.60,
GRA2,Grandfield,OK,34.24,-98.74,
GUTH,Guthrie,OK,35.85,-97.48,
HASK,Haskell,OK,35.75,-95.64,
HECT,Hectorville,OK,35.84,-96.00,
HINT,Hinton,OK,35.48,-98.48,
HOBA,Hobart,OK,34.99,-99.05,
HOLD,Holdenville,OK,35.07,-96.36,
HOLL,Hollis,OK,34.69,-99.83,
HOOK,Hooker,OK,36.86,-101.23,
HUGO,Hugo,OK,34.03,-95.54,
IDAB,Idabel,OK,33.83,-94.88,
INOL,Inola,OK,36.14,-95.45,
JAYX,Jay,OK,36.48,-94.78,
KENT,Kenton,OK,36.83,-102.88,
KETC,Ketchum Ranch,OK,34.53,-97.76,
KIN2,Kingfisher,OK,35.85,-97.95,
LAHO,Lahoma,OK,36.38,-98.11,
LANE,Lane,OK,34.31,-96.00,
MADI,Madill,OK,34.04,-96.94,
MANG,Mangum,OK,34.84,-99.42,
MARE,Marena,OK,36.06,-97.21,
MAYR,May Ranch,OK,36.99,-99.01,
MCAL,McAlester,OK,34.88,-95.78,
MEDF,Medford,OK,36.79,-97.75,
MEDI,Medicine Park,OK,34.73,-98.57,
MIAM,Miami,OK,36.89,-94.84,
MINC,Minco,OK,35.27,-97.96,
MRSH,Marshall,OK,36.12,-97.61,
MTHE,Mt Herman,OK,34.31,-94.82,
NEWK,Newkirk,OK,36.90,-96.91,
NEWP,Newport,OK,34.23,-97.20,
NOWA,Nowata,OK,36.74,-95.61,
NRMN,Norman,OK,35.24,-97.46,
OILT,Oilton,OK,36.03,-96.50,
OKCE,Oklahoma City East,OK,35.47,-97.46,
OKEM,Okemah,OK,35.43,-96.26,
OKMU,Okmulgee,OK,35.58,-95.91,
PAUL,Pauls Valley,OK,34.72,-97.23,
PAWN,Pawnee,OK,36.36,-96.77,
PERK,Perkins,OK,36.00,-97.05,
PORT,Porter,OK,35.83,-95.56,
PRYO,Pryor,OK,36.37,-95.27,
PUTN,Putnam,OK,35.90,-98.96,
REDR,Red Rock,OK,36.36,-97.15,
RING,Ringling,OK,34.19,-97.59,
SALL,Sallisaw,OK,35.44,-94.80,
SEIL,Seiling,OK,36.19,-99.04,
SEMI,Seminole,OK,35.18,-96.70,
SHAW,Shawnee,OK,35.36,-96.95,
SKIA,Skiatook,OK,36.42,-96.04,
SLAP,Slapout,OK,36.60,-100.26,
SPEN,Spencer,OK,35.54,-97.34,
STIG,Stigler,OK,35.27,-95.18,
STIL,Stillwater,OK,36.12,-97.10,
STUA,Stuart,OK,34.88,-96.07,
SULP,Sulphur,OK,34.57,-96.95,
TAHL,Tahlequah,OK,35.97,-94.99,
TALA,Talala,OK,36.57,-95.75,
TALI,Talihina,OK,34.71,-95.01,
TIPT,Tipton,OK,34.44,-99.14,
TISH,Tishomingo,OK,34.33,-96.68,
TULN,Tulsa,OK,36.20,-95.94,
VALL,Valliant,OK,33.94,-95.11,
VINI,Vinita,OK,36.78,-95.22,
WAL2,Walters,OK,34.40,-98.35,
WASH,Washington,OK,34.98,-97.52,
WATO,Watonga,OK,35.84,-98.53,
WAUR,Waurika,OK,34.17,-97.99,
WEAT,Weatherford,OK,35.51,-98.78,
WEBR,Webbers Falls,OK,35.49,-95.12,
WEST,Westville,OK,36.01,-94.64,
WILB,Wilburton,OK,34.90,-95.35,
WIST,Wister,OK,34.98,-94.69,
WOOD,Woodward,OK,36.42,-99.42,
WYNO,Wynona,OK,36.52,-96.34,
YUKO,Yukon,OK,35.56,-97.76,
