STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
ACME,Acme,OK,34.81,-98.02,2021,5,5,17,25,72,44,37, , ,SE,7,11,1019.00,73,40, 
ADAX,Ada,OK,34.80,-96.67,2021,5,5,17,25,71,43,36, , ,SE,3,6,1019.13,73,41, 
ALTU,Altus,OK,34.59,-99.34,2021,5,5,17,25,76,43,31, , ,SSE,8,13,1018.45,78,42, 
ALV2,Alva,OK,36.71,-98.71,2021,5,5,17,25,72,42,34, , ,ESE,13,15,1017.85,73,38, 
ANT2,Antlers,OK,34.25,-95.67,2021,5,5,17,25,74,42,31, , ,SSE,3,4,1018.51, , , 
APAC,Apache,OK,34.91,-98.29,2021,5,5,17,25,72,45,38, , ,S,7,11,1019.05,73,42, 
ARD2,Ardmore,OK,34.19,-97.09,2021,5,5,17,25,73,44,36, , ,SSE,6,8,1018.78,74,45, 
ARNE,Arnett,OK,36.07,-99.90,2021,5,5,17,25, , , , , , , , , ,78,42, 
BEAV,Beaver,OK,36.80,-100.53,2021,5,5,17,25,63,56,76, , ,SSW,9,14,1018.30,76,47,0.32
BESS,Bessie,OK,35.40,-99.06,2021,5,5,17,25,74,43,32, , ,S,9,14,1018.65,75,42, 
BIXB,Bixby,OK,35.96,-95.87,2021,5,5,17,25, , , , , , , , , ,72,42, 
BLAC,Blackwell,OK,36.75,-97.25,2021,5,5,17,25,67,41,39, , ,ESE,2,4,1019.97,69,39,0.01
BOIS,Boise City,OK,36.69,-102.50,2021,5,5,17,25,72,35,25, , ,NE,14,17,1019.59,76,39, 
BREC,Breckinridge,OK,36.41,-97.69,2021,5,5,17,25,69,41,36, , ,E,6,7,1019.03,70,40, 
BRIS,Bristow,OK,35.78,-96.35,2021,5,5,17,25,71,36,28, , ,NE,4,6,1019.47,72,38, 
BROK,Broken Bow,OK,34.04,-94.62,2021,5,5,17,25,74,45,36, , ,S,4,5,1018.28,76,43, 
BUFF,Buffalo,OK,36.83,-99.64,2021,5,5,17,25,71,45,39, , ,ESE,7,12,1016.50,76,43,0.05
BURB,Burbank,OK,36.63,-96.81,2021,5,5,17,25,67,42,40, , ,WNW,1,3,1019.91,71,39, 
BURN,Burneyville,OK,33.89,-97.27,2021,5,5,17,25,71,45,39, , ,E,7,10,1018.94,73,41, 
BUTL,Butler,OK,35.59,-99.27,2021,5,5,17,25,76,42,29, , ,S,7,11,1018.50,78,39, 
BYAR,Byars,OK,34.85,-97.00,2021,5,5,17,25,72,42,34, , ,E,3,6,1019.14,73,45, 
CAMA,Camargo,OK,36.03,-99.35,2021,5,5,17,25,75,42,30, , ,S,8,13,1018.26,76,38, 
CARL,Lake Carl Blackwell,OK,36.15,-97.29,2021,5,5,17,25,71,40,33, , ,NNE,4,5,1019.31,72,38, 
CENT,Centrahoma,OK,34.61,-96.33,2021,5,5,17,25,72,38,28, , ,ENE,4,6,1019.00,74,41, 
CHAN,Chandler,OK,35.65,-96.80,2021,5,5,17,25,73,36,26, , ,ESE,5,7,1019.30,75,42, 
